Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 45-85+, Män, Diagnos:177 Prostata (blåshalskörtel), oavsett tumörtyp
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2012;Hallands län;18,29;178,20;299,03;545,72;1122,74;1263,19;1099,12;736,34;589,68;583,99
2012;Västra Götalands län;26,16;88,16;252,39;430,25;637,94;734,64;733,12;690,20;580,11;384,07
2012;Värmlands län;10,06;113,13;307,56;447,43;687,03;691,94;666,26;717,99;505,56;409,91
2012;Örebro län;0,00;46,43;174,31;227,89;497,04;537,47;792,45;535,43;484,26;298,69
2012;Västmanlands län;21,13;146,95;295,82;491,61;947,81;994,62;1057,57;1021,75;540,99;529,29
2012;Dalarnas län;0,00;89,53;220,50;369,54;639,29;730,55;668,69;609,17;499,17;377,43
2012;Gävleborgs län;19,89;55,74;194,72;302,15;511,94;730,62;713,85;711,65;646,90;354,68
2012;Västernorrlands län;23,29;130,10;290,75;470,83;791,24;769,80;702,91;908,52;847,82;471,07
2012;Jämtlands län;0,00;148,88;341,84;811,58;1357,57;1246,21;1241,96;799,26;849,26;693,85
2012;Västerbottens län;11,68;75,25;204,68;594,72;971,24;1036,08;974,03;735,17;811,62;518,61
2012;Norrbottens län;33,19;58,60;147,90;517,25;636,39;827,92;902,66;703,36;275,99;407,79
2011;Riket;22,28;113,05;291,24;566,38;846,83;941,81;910,46;878,58;656,07;488,02
2011;Stockholms län;28,83;141,06;330,98;594,29;896,91;1015,07;939,16;963,40;716,34;485,04
2011;Uppsala län;26,56;159,46;404,02;655,25;639,90;675,24;872,23;912,38;378,36;455,19
2011;Södermanlands län;20,93;69,36;152,16;510,26;692,34;769,17;1012,03;936,24;512,01;435,14
2011;Östergötlands län;33,81;67,37;370,36;636,41;1185,17;1385,99;1235,24;1138,83;953,78;650,86
2011;Jönköpings län;8,53;104,13;365,00;647,85;830,33;760,29;753,33;578,91;646,61;465,46
2011;Kronobergs län;32,39;159,29;360,64;603,61;1055,41;1444,13;961,86;1102,40;594,50;620,00
2011;Kalmar län;86,72;80,54;149,84;648,56;725,73;1117,89;876,38;571,43;559,08;491,00
2011;Gotlands län;50,68;50,89;99,03;463,82;588,38;1065,34;823,89;612,56;516,35;406,80
2011;Blekinge län;0,00;84,38;232,04;529,05;830,27;1005,56;692,16;1054,48;949,37;507,86
2011;Skåne län;23,37;124,99;322,49;548,53;851,22;874,33;897,69;809,87;497,62;477,22
2011;Hallands län;9,43;157,76;439,30;625,35;1169,78;1231,51;827,24;1219,69;789,08;625,10
2011;Västra Götalands län;17,89;126,60;300,83;599,16;829,16;912,93;908,31;831,50;650,94;483,77
2011;Värmlands län;20,60;33,63;218,57;556,68;797,65;856,26;592,38;826,23;898,41;452,47
2011;Örebro län;0,00;70,32;173,07;315,36;624,25;518,93;522,07;918,88;369,89;326,11
2011;Västmanlands län;21,70;86,73;283,45;680,98;991,53;1170,88;1133,00;937,55;884,58;584,29
2011;Dalarnas län;0,00;88,46;207,49;482,57;762,22;789,67;873,98;669,08;799,33;445,12
2011;Gävleborgs län;10,17;88,97;128,96;368,04;833,68;628,21;762,49;1044,53;544,07;410,98
