Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2012;Värmlands län;10,06;­­;­­;31,22;63,42;138,39;343,23;531,84;1078,53;135,10
2012;Örebro län;­­;­­;­­;­­;31,73;122,85;302,99;535,43;931,27;105,99
2012;Västmanlands län;­­;12,25;­­;23,98;47,99;163,05;264,39;659,20;1123,60;129,73
2012;Dalarnas län;­­;­­;21,00;­­;88,52;114,60;344,48;913,75;1098,17;152,16
2012;Gävleborgs län;­­;11,15;10,82;10,07;59,07;131,51;346,73;684,28;1114,11;136,76
2012;Västernorrlands län;11,65;­­;­­;91,87;45,87;245,68;307,52;720,55;1356,51;166,77
2012;Jämtlands län;­­;­­;22,79;­­;131,38;101,04;177,42;614,82;990,80;125,55
2012;Västerbottens län;­­;­­;24,08;23,32;62,26;89,32;278,29;568,09;1025,20;118,19
2012;Norrbottens län;­­;­­;34,13;55,03;92,57;259,74;225,66;703,36;689,97;133,73
2011;Riket;0,60;3,38;11,47;28,50;71,76;137,17;272,49;531,72;1044,01;118,56
2011;Stockholms län;1,31;1,57;5,25;19,69;63,38;134,53;276,76;536,66;907,83;93,72
2011;Uppsala län;­­;­­;50,50;56,16;61,93;144,69;353,61;471,92;1210,75;129,63
2011;Södermanlands län;­­;11,56;11,70;20,83;108,18;204,07;382,32;484,26;1378,50;151,49
2011;Östergötlands län;­­;­­;30,86;43,39;116,19;123,95;297,08;538,36;1076,06;135,82
2011;Jönköpings län;­­;­­;9,61;18,51;60,02;175,45;251,11;528,57;1546,25;150,59
2011;Kronobergs län;­­;­­;­­;31,77;70,36;177,35;199,00;551,20;842,21;119,61
2011;Kalmar län;­­;­­;12,49;46,33;60,48;154,79;138,38;412,70;857,25;108,13
2011;Gotlands län;­­;­­;­­;­­;98,06;­­;205,97;459,42;688,47;79,91
2011;Blekinge län;­­;­­;­­;­­;94,35;105,85;380,69;652,77;1265,82;148,71
2011;Skåne län;­­;7,98;24,60;28,73;58,04;128,34;267,63;454,13;950,82;112,45
2011;Hallands län;­­;­­;­­;60,52;138,25;135,17;233,32;624,02;1249,38;148,41
2011;Västra Götalands län;­­;6,03;14,62;34,18;59,86;132,73;272,06;503,59;1000,91;115,77
